"CREATEDBYID","CREATEDDATE","DESCRIPTION","ID","ISACTIVE","ISARCHIVED","ISDELETED","ISSTANDARD","LASTMODIFIEDBYID","LASTMODIFIEDDATE","LASTREFERENCEDDATE","LASTVIEWEDDATE","NAME","SYSTEMMODSTAMP"
"005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","01sHp000009XyZ5IAK","false","false","false","true","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","Standard Price Book","2023-10-28T20:45:25.000Z"
"005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","01sHp000009XyZ4IAK","true","false","false","false","005Hp00000hnUYPIA2","2023-10-28T20:45:25.000Z","","","Standard","2023-10-28T20:45:25.000Z"
